trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.7968124309713576, 'e': 0.9577452351172886}",20,0,-85.73446799568292,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
2,False,"{'a': 0.7936350225390274, 'e': 0.9172759353898704}",25,0,-149.21013835136782,"{0: 14, 1: 3, 2: 3, 3: 4, 4: 1}",0
3,False,"{'a': 0.7904677423154074, 'e': 0.8785166564074023}",25,0,-209.0615598412247,"{0: 10, 1: 4, 2: 5, 3: 5, 4: 1}",0
4,False,"{'a': 0.7873105580161335, 'e': 0.8413951416453618}",20,0,-72.25095987028399,"{0: 13, 1: 2, 2: 2, 3: 3, 4: 0}",0
5,False,"{'a': 0.7841634374597495, 'e': 0.8058421877616814}",25,0,-56.209694712548256,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
6,False,"{'a': 0.7810263485673805, 'e': 0.7717915155852417}",30,0,-88.6019405163226,"{0: 24, 1: 1, 2: 3, 3: 0, 4: 2}",0
7,False,"{'a': 0.7778992593624048, 'e': 0.7391796465557159}",20,0,-100.13243982277679,"{0: 11, 1: 4, 2: 2, 3: 2, 4: 1}",0
8,False,"{'a': 0.7747821379701287, 'e': 0.7079457843844184}",25,0,-67.69558894842365,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
9,False,"{'a': 0.7716749526174613, 'e': 0.678031701715548}",25,0,-120.55827508628994,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
10,False,"{'a': 0.7685776716325903, 'e': 0.649381631576533}",25,10,-62.07940020108574,"{0: 8, 1: 3, 2: 2, 3: 2, 4: 0}",1
11,False,"{'a': 0.7654902634446594, 'e': 0.621942163415115}",25,0,-79.37333342650408,"{0: 18, 1: 0, 2: 6, 3: 0, 4: 1}",0
12,False,"{'a': 0.7624126965834475, 'e': 0.5956621435293644}",25,6,-21.413706705024097,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 0}",1
13,False,"{'a': 0.7593449396790457, 'e': 0.5704925797049992}",20,0,-62.390157254590754,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
14,False,"{'a': 0.75628696146154, 'e': 0.546386549882233}",25,0,-106.13766119320259,"{0: 17, 1: 1, 2: 4, 3: 2, 4: 1}",0
15,False,"{'a': 0.7532387307606905, 'e': 0.5232991146818834}",25,4,-129.1387651482954,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 2}",1
16,False,"{'a': 0.7502002165056152, 'e': 0.5011872336276694}",20,0,-183.24766428829707,"{0: 10, 1: 1, 2: 5, 3: 1, 4: 3}",0
17,False,"{'a': 0.7471713877244726, 'e': 0.4800096849085157}",20,11,-30.00120970756583,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 1}",1
18,False,"{'a': 0.7441522135441456, 'e': 0.45972698853128197}",20,0,-2.183770552629733,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
19,False,"{'a': 0.741142663189928, 'e': 0.44030133272065575}",20,0,-72.02977480995045,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
20,False,"{'a': 0.7381427059852097, 'e': 0.42169650342899995}",25,11,-41.15399713699586,"{0: 10, 1: 0, 2: 2, 3: 2, 4: 0}",1
21,False,"{'a': 0.7351523113511644, 'e': 0.403877816824746}",25,6,-97.3233975535159,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 3}",1
22,False,"{'a': 0.7321714488064379, 'e': 0.3868120546334736}",25,20,9.70698142446589,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,False,"{'a': 0.7292000879668379, 'e': 0.37046740221113766}",25,0,-7.828360447983453,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
24,False,"{'a': 0.7262381985450228, 'e': 0.35481338923399713}",20,0,-10.564284237916057,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
25,False,"{'a': 0.723285750350195, 'e': 0.3398208328946767}",30,0,-84.12042991653456,"{0: 23, 1: 2, 2: 2, 3: 2, 4: 1}",0
26,False,"{'a': 0.720342713287792, 'e': 0.32546178349846494}",20,7,-4.8034443922570444,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
27,False,"{'a': 0.7174090573591789, 'e': 0.3117094723584294}",20,12,12.959246840688664,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,False,"{'a': 0.7144847526613447, 'e': 0.2985382618922099}",20,2,-28.8452471709186,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
29,False,"{'a': 0.7115697693865957, 'e': 0.2859235978274613}",30,0,-21.30271513027475,"{0: 27, 1: 1, 2: 1, 3: 0, 4: 1}",0
30,False,"{'a': 0.7086640778222522, 'e': 0.27384196342684297}",20,0,-31.46650079151985,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
31,False,"{'a': 0.7057676483503459, 'e': 0.2622708356472217}",25,0,-56.014780016891336,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
32,False,"{'a': 0.7028804514473179, 'e': 0.2511886431513561}",20,5,-8.672472538950732,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 0}",1
33,False,"{'a': 0.7000024576837178, 'e': 0.24057472609378822}",35,16,-67.25570101683176,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 2}",1
34,False,"{'a': 0.697133637723903, 'e': 0.23040929760597254}",35,14,13.21668260338064,"{0: 18, 1: 2, 2: 1, 3: 0, 4: 0}",1
35,False,"{'a': 0.694273962325741, 'e': 0.2206734069088415}",30,12,20.18434245914387,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
36,False,"{'a': 0.6914234023403101, 'e': 0.21134890398404146}",20,15,-1.1380565751997445,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
37,False,"{'a': 0.6885819287116028, 'e': 0.20241840573797704}",30,19,21.67458944061176,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
38,False,"{'a': 0.6857495124762305, 'e': 0.1938652635955856}",25,0,-5.248590568096803,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
39,False,"{'a': 0.682926124763126, 'e': 0.18567353246342924}",25,3,-7.261058738551712,"{0: 19, 1: 1, 2: 1, 3: 1, 4: 0}",1
40,False,"{'a': 0.6801117367932517, 'e': 0.17782794100424454}",20,12,16.253738629736617,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
41,False,"{'a': 0.6773063198793048, 'e': 0.1703138631675335}",25,9,-17.032101134130833,"{0: 14, 1: 0, 2: 0, 3: 2, 4: 0}",1
42,False,"{'a': 0.6745098454254252, 'e': 0.1631172909231231}",20,16,6.896276484464723,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
43,False,"{'a': 0.6717222849269042, 'e': 0.1562248081468617}",20,0,-7.133506840740447,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
44,False,"{'a': 0.6689436099698938, 'e': 0.1496235656097694}",30,11,32.536121209502454,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.6661737922311168, 'e': 0.1433012570240156}",25,10,13.247822048287887,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
46,False,"{'a': 0.6634128034775792, 'e': 0.13724609610106883}",25,7,2.6806282761866385,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
47,False,"{'a': 0.6606606155662806, 'e': 0.13144679457924816}",20,8,19.525077277852162,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.6579172004439291, 'e': 0.12589254117971596}",30,17,19.54098731596596,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.6551825301466545, 'e': 0.12057298145168005}",25,2,39.88392768632453,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.6524565767997228, 'e': 0.11547819846923178}",25,17,12.296232869022573,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.6497393126172535, 'e': 0.1105986943438353}",25,0,-11.036164061351332,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
52,False,"{'a': 0.6470307099019348, 'e': 0.10592537251800167}",20,12,19.500346704499343,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.6443307410447423, 'e': 0.10144952080713988}",25,1,16.674996474823864,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 0}",1
54,False,"{'a': 0.6416393785246572, 'e': 0.09716279515797045}",35,7,-6.349390341980106,"{0: 26, 1: 1, 2: 0, 3: 0, 4: 1}",1
55,False,"{'a': 0.6389565949083862, 'e': 0.09305720409322335}",20,6,22.508854224307186,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.6362823628500809, 'e': 0.08912509381362171}",30,0,27.02818375778648,"{0: 28, 1: 1, 2: 1, 3: 0, 4: 0}",1
57,False,"{'a': 0.63361665509106, 'e': 0.08535913392937752}",20,16,6.7079193100962575,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.630959444459531, 'e': 0.08175230379459984}",20,14,10.359669463884819,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.628310703870314, 'e': 0.07829787941913903}",25,13,-59.85231619654112,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 2}",1
60,False,"{'a': 0.6256704063245639, 'e': 0.07498942093346841}",25,13,21.529353812575106,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.623038524909497, 'e': 0.07182076058323403}",25,0,4.010551429380078,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
62,False,"{'a': 0.6204150327981159, 'e': 0.06878599123109197}",20,2,-53.66620004156958,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 2}",1
63,False,"{'a': 0.6177999032489359, 'e': 0.06587945534439792}",25,14,19.45543873876654,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.6151931096057128, 'e': 0.0630957344482193}",20,0,-21.920936527095666,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
65,False,"{'a': 0.6125946252971708, 'e': 0.060429639024007796}",20,16,9.794792879796496,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.6100044238367321, 'e': 0.05787619883510122}",20,0,29.099218921569406,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
67,False,"{'a': 0.6074224788222469, 'e': 0.055430653661018986}",35,21,28.16893567880289,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
