trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-101.50093910253739,"{0: 16, 1: 6, 2: 1, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-159.18135568065702,"{0: 14, 1: 1, 2: 7, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-92.49979929207684,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",30,0,-112.55229010431724,"{0: 18, 1: 1, 2: 9, 3: 2, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",35,0,-170.65691842101188,"{0: 19, 1: 9, 2: 4, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-121.1357837702512,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-99.77854552518461,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-46.75214056406859,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-130.73820024546114,"{0: 11, 1: 6, 2: 7, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,3,-142.91849868648367,"{0: 8, 1: 1, 2: 5, 3: 1, 4: 2}",1
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-154.2243824530233,"{0: 18, 1: 3, 2: 6, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-25.702884292602782,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,0,-153.54199031439947,"{0: 17, 1: 1, 2: 10, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-73.02807000408417,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-149.03859876945282,"{0: 10, 1: 0, 2: 8, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-35.768701219046264,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-185.59086962012094,"{0: 16, 1: 4, 2: 6, 3: 2, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,0,-176.67050020181452,"{0: 15, 1: 3, 2: 10, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-169.80296704088224,"{0: 13, 1: 5, 2: 4, 3: 0, 4: 3}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-98.54317566353569,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",30,0,-162.60661081898152,"{0: 20, 1: 1, 2: 6, 3: 0, 4: 3}",0
